,y_true,lgbm_ohe_pred,lgbm_ohe_error,xgb_ohe_pred,xgb_ohe_error,svm_ohe_pred,svm_ohe_error,lgbm_le_pred,lgbm_le_error,xgb_le_pred,xgb_le_error,svm_le_pred,svm_le_error,catboost_pred,catboost_error,difficulty_score
911,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1574,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,7
660,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,2
1636,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
220,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1565,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
412,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1243,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1542,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,4
2854,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2572,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2669,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,6
914,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2
128,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2869,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2563,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2761,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
167,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
494,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
656,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2699,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1800,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
580,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
696,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1948,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1986,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
811,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2375,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1618,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
443,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2645,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1592,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2227,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
579,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1675,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2126,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
504,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1083,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1494,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,5
1416,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1339,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1850,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1442,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1823,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
491,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1564,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2329,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
782,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2132,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2
1454,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2233,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
2562,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1604,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,4
2693,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2531,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,3
291,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2137,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1141,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,7
2032,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
373,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,4
1244,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2906,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1219,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
134,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
85,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
689,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2314,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,3
604,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1200,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
531,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
943,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1691,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1955,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,4
2182,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
247,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2807,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
758,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2816,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1401,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
827,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2606,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1370,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,4
2303,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
788,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1806,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1187,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
873,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
210,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1777,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1245,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
45,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2578,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1928,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1399,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1993,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
672,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
445,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2613,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2861,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1514,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
472,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,3
1195,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1740,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
194,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2
2905,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1373,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
1397,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2289,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1118,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2124,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
370,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,4
990,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1296,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,5
2050,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2223,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,6
90,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1780,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
96,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
34,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
357,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
65,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
902,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1028,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2455,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2
2543,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
455,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2839,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
107,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
337,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1168,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1794,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
335,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2036,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,5
1529,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1197,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1810,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1016,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
2641,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
20,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2105,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
767,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
177,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2017,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
17,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1562,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,6
346,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1345,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1746,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2837,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,5
754,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1144,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1132,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
2390,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1287,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
137,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,5
2743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1971,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
581,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
908,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2246,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
857,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2587,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1786,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,5
1988,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2794,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1952,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2269,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2514,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1069,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
105,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1110,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2659,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,6
1543,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
1613,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1499,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2
2681,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1802,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
439,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1270,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
976,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2022,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1425,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1432,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,5
2589,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1473,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
326,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1146,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1978,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1639,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2078,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
66,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
360,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1517,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2886,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2200,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1888,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,6
969,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
386,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,6
2236,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
884,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1633,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1741,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
71,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
129,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
392,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2270,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2588,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
730,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2929,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
358,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,2
2321,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1583,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1192,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2799,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
607,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1350,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2711,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2843,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2342,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
542,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1500,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2497,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1034,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,6
1092,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1306,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2915,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2334,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,3
2829,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1702,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
199,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1222,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1765,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
499,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
824,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2
2153,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2686,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2694,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
720,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
266,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1412,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2760,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2923,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2170,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1037,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
916,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,6
2622,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2825,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2519,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1758,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2252,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2272,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,6
765,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,6
2044,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
433,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2123,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1224,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2619,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
423,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
907,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
477,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
18,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,5
1788,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,5
1883,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
9,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2502,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1798,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1314,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
695,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,2
800,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1250,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
932,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
2119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1946,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2737,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1795,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2002,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2678,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2180,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
576,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
225,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,4
132,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
179,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
152,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
737,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
502,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1288,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1730,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2352,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1953,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1885,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2787,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2109,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
185,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1464,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1526,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
316,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1776,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
158,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
431,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2581,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1336,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1121,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
396,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2245,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1079,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2591,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1291,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1382,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
48,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2026,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
242,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2265,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
383,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
912,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
1282,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,4
1830,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
2300,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1846,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,6
2122,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
738,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1357,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
320,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,6
939,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
836,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1908,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2921,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,6
905,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
